0	168.0	140.0	1176.0	1288.0
0	2716.0	392.0	868.0	280.0
0	2296.0	2609.6	1736.0	672.0
0	296.8	2660.0	700.0	168.0
0	263.2	1428.0	2436.0	1467.2
1	2497.6	242.0	263.2	2902.0
1	425.6	3014.0	1820.0	2930.0
1	672.0	354.0	1780.8	1994.8
1	840.0	1877.2	2083.2	225.0
1	2620.8	1401.2	1708.0	1513.2
2	2452.8	2118.0	767.2	2566.0
2	1338.4	2958.0	1131.2	2218.8
2	907.2	3086.8	2671.2	85.0
2	1736.0	2146.0	184.8	2370.0
2	1416.8	2353.2	1887.2	2666.8
3	1198.4	1474.0	2441.6	1882.8
3	2301.6	1703.6	2256.8	1944.4
3	2676.8	2263.6	1226.4	1849.2
3	2587.2	1686.8	2587.2	2398.0
3	2380.0	2123.6	2598.4	2006.0
4	2637.6	807.6	2704.0	2594.0
4	2094.4	2134.8	2352.0	1026.0
4	1523.2	1474.0	168.0	1451.6
4	2660.0	2913.2	1304.8	2202.0
4	1808.8	3047.6	2749.6	1098.8
5	190.0	424.0	2230.0	283.0
5	1160.0	224.0	490.0	1064.0
5	650.0	834.0	1560.0	2724.0
5	300.0	2714.0	2040.0	2024.0
5	2540.0	124.0	330.0	894.0
